Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
19675 Runyon,17014696.,MCM,$14030.03,08/05/2014,No,3,42.439706,-83.007269,"19675 Runyon
(42.439706, -83.007269)",Pulaski
19678 Yonka,13021893.,Smalley,$16175.00,09/14/2016,No,3,42.439163,-83.066193,"19678 Yonka
(42.439163, -83.066193)",Pershing
1968 BRIGHTON,08005515.,"Adamo Group, Inc.",$9097.00,07/15/2014,No,2,42.4145,-83.12015,"1968 BRIGHTON
(42.4145, -83.12015)",Martin Park
1968 Labelle,08004891.,"Adamo Group, Inc.",$35607.00,04/15/2015,No,2,42.399649,-83.117065,"1968 Labelle
(42.399649, -83.117065)",Oakman Blvd Community
1968 Seward,08001950.,"Adamo Group, Inc.",$19496.77,10/02/2014,No,5,42.368739,-83.095993,"1968 Seward
(42.368739, -83.095993)",LaSalle Gardens
19683 Runyon,17014695.,Jenkins Construction,$7725.00,11/25/2014,No,3,42.439811,-83.007272,"19683 Runyon
(42.439811, -83.007272)",Pulaski
19686 Eureka,13018409-10,Able Demolition,$10514.10,05/18/2016,No,3,42.439438,-83.057822,"19686 Eureka
(42.439438, -83.057822)",Farwell
19688 Runyon,17014663.,DMC Consultants,$11120.00,05/12/2016,No,3,42.439923,-83.006685,"19688 Runyon
(42.439923, -83.006685)",Pulaski
19692 Omira,09022779.,Able Demolition,$9986.38,05/03/2016,No,3,42.438688,-83.09583,"19692 Omira
(42.438688, -83.09583)",Nolan
19694 Eureka,13018411.,Able Demolition,$10675.70,02/18/2015,No,3,42.439534,-83.057828,"19694 Eureka
(42.439534, -83.057828)",Farwell
19695 Harned,13024166.,"Direct Construction Services, LLC",$5663.60,04/14/2016,No,3,42.439217,-83.074063,"19695 Harned
(42.439217, -83.074063)",Pershing
19699 Concord,15011335.,Brown Environmental Construction,$4405.00,04/12/2016,No,3,42.440101,-83.033411,"19699 Concord
(42.440101, -83.033411)",Nortown
1970 Florence,08005446.,"Adamo Group, Inc.",$14813.00,07/14/2014,No,2,42.412905,-83.12008,"1970 Florence
(42.412905, -83.12008)",Martin Park
19700 Eureka,13018412.,"Adamo Group, Inc.",$7375.00,11/20/2014,No,3,42.439636,-83.057834,"19700 Eureka
(42.439636, -83.057834)",Farwell
19701 Bentler,22110795-6,Homrich,$15832.27,08/21/2014,No,1,42.434806,-83.254004,"19701 Bentler
(42.434806, -83.254004)",Evergreen Lahser 7/8
19701 Harned,13024165.,"Direct Construction Services, LLC",$6070.02,04/14/2016,No,3,42.43932,-83.074066,"19701 Harned
(42.43932, -83.074066)",Pershing
19701 Joann,21030790.,Farrow Group,$13030.00,10/21/2015,No,3,42.440596,-82.990551,"19701 Joann
(42.440596, -82.990551)",Pulaski
19701 Justine,13018874.,"Adamo Group, Inc.",$11691.00,06/03/2015,No,3,42.439588,-83.059421,"19701 Justine
(42.439588, -83.059421)",Farwell
19701 Waltham,21032836.,DMC Consultants,$13835.00,05/14/2016,No,3,42.440482,-82.995404,"19701 Waltham
(42.440482, -82.995404)",Pulaski
19702 Stout,22101466-7,ABC Demolition,$12883.33,10/07/2015,No,1,42.435036,-83.243076,"19702 Stout
(42.435036, -83.243076)",Evergreen Lahser 7/8
